Ground,Span,Span_2,Mat,Won,Tied,NR,Runs,Wkts,Balls,Ave,RPO,
"Old Trafford, Manchester - England",1972-2018,46,46,45,0,1,18528,662,25619,27.98,4.33,
"Lord's, London - England",1972-2018,46,61,58,2,1,27524,859,35083,32.04,4.7,
"Edgbaston, Birmingham - England",1972-2017,45,58,51,1,6,23445,827,30549,28.34,4.6,
"AMI Stadium, Christchurch - New Zealand",1973-2011,38,48,48,0,0,20930,706,26278,29.64,4.77,
"St Helen's, Swansea - England",1973-1983,10,2,2,0,0,943,27,1310,34.92,4.31,
"Headingley, Leeds - England",1973-2019,46,41,39,0,2,17578,578,22854,30.41,4.61,
"Kennington Oval, London - England",1973-2019,46,68,65,0,3,31135,929,37805,33.51,4.94,
"Carisbrook, Dunedin - New Zealand",1974-2004,30,21,20,0,1,8319,300,11389,27.73,4.38,
"Trent Bridge, Nottingham - England",1974-2019,45,45,42,2,1,21007,625,25582,33.61,4.92,
"Basin Reserve, Wellington - New Zealand",1975-2018,43,29,26,0,3,11279,424,15142,26.6,4.46,
Adelaide Oval - Australia,1975-2019,44,85,83,1,1,36735,1244,47123,29.52,4.67,
"Eden Park, Auckland - New Zealand",1976-2017,41,76,71,2,3,30931,1094,39221,28.27,4.73,
"North Marine Road Ground, Scarborough - England",1976-1978,2,2,2,0,0,802,28,1236,28.64,3.89,
"Jinnah Stadium, Sialkot - Pakistan",1976-1996,20,9,8,0,1,2959,114,3988,25.95,4.45,
"Albion Sports Complex, Albion, Berbice, Guyana - West Indies",1977-1985,8,5,5,0,0,2022,63,2792,32.09,4.34,
"Zafar Ali Stadium, Sahiwal - Pakistan",1977-1978,1,2,2,0,0,808,22,1026,36.72,4.72,
"Gaddafi Stadium, Lahore - Pakistan",1978-2015,37,61,59,1,1,28345,843,32587,33.62,5.21,
"Antigua Recreation Ground, St John's, Antigua - West Indies",1978-2007,29,11,11,0,0,4641,150,6082,30.94,4.57,
"Mindoo Phillip Park, Castries, St Lucia - West Indies",1978-1984,6,2,2,0,0,693,30,938,23.1,4.43,
"Ayub National Stadium, Quetta - Pakistan",1978-1984,6,2,2,0,0,688,32,943,21.5,4.37,
Sydney Cricket Ground - Australia,1979-2019,40,156,149,0,7,63194,2272,82400,27.81,4.6,
"Brisbane Cricket Ground, Woolloongabba, Brisbane - Australia",1979-2018,39,78,73,0,5,33354,1134,41796,29.41,4.78,
"National Stadium, Karachi - Pakistan",1980-2009,29,46,44,0,2,20744,577,23646,35.95,5.26,
"W.A.C.A. Ground, Perth - Australia",1980-2017,37,80,79,1,0,33265,1218,43631,27.31,4.57,
"Arnos Vale Ground, Kingstown, St Vincent - West Indies",1981-2012,31,23,22,1,0,8474,374,12326,22.65,4.12,
"Seddon Park, Hamilton - New Zealand",1981-2019,38,34,32,0,2,14821,435,16947,34.07,5.24,
"Sardar Vallabhai Patel Stadium, Ahmedabad - India",1981-1981,0,1,1,0,0,316,12,539,26.33,3.51,
"Gandhi Stadium, Jalandhar - India",1981-1994,13,3,3,0,0,1128,35,1517,32.22,4.46,
"Barabati Stadium, Cuttack - India",1982-2017,35,18,18,0,0,8503,247,10240,34.42,4.98,
"Sinhalese Sports Club Ground, Colombo - Sri Lanka",1982-2017,35,60,53,0,7,22215,794,28376,27.97,4.69,
"Gandhi Sports Complex Ground, Amritsar - India",1982-1995,13,2,2,0,0,751,29,1079,25.89,4.17,
"Feroz Shah Kotla, Delhi - India",1982-2019,37,25,24,0,1,10969,358,13511,30.63,4.87,
"Niaz Stadium, Hyderabad - Pakistan",1982-2008,26,7,7,0,0,2895,101,3693,28.66,4.7,
"M.Chinnaswamy Stadium, Bengaluru - India",1982-2017,35,25,22,1,2,12140,347,13173,34.98,5.52,
"Jinnah Stadium, Gujranwala - Pakistan",1982-2000,18,11,11,0,0,4419,141,5339,31.34,4.96,
"Ibn-e-Qasim Bagh Stadium, Multan - Pakistan",1982-1994,12,6,6,0,0,2348,79,2928,29.72,4.81,
"Queen's Park Oval, Port of Spain, Trinidad - West Indies",1983-2017,34,67,62,0,5,25756,881,32470,29.23,4.75,
"McLean Park, Napier - New Zealand",1983-2019,36,44,41,2,1,19587,624,23462,31.38,5,
"Queen's Park (Old), St George's, Grenada - West Indies",1983-1983,0,1,1,0,0,333,13,510,25.61,3.91,
"P Sara Oval, Colombo - Sri Lanka",1983-2007,24,12,10,0,2,4184,147,5651,28.46,4.44,
"The Cooper Associates County Ground, Taunton - England",1983-1999,16,3,3,0,0,1668,47,1809,35.48,5.53,
