Mat,Won,Tied,NR,Runs,Wkts,Balls,Ave,RPO,Year
15,15,0,0,6162,208,9440,29.62,3.91,1975
14,14,0,0,5168,202,8746,25.58,3.54,1979
27,27,0,0,12046,408,17712,29.52,4.08,1983
27,27,0,0,12522,385,15413,32.52,4.87,1987
39,37,0,2,15107,514,20498,29.39,4.42,1992
36,35,0,1,15225,474,19556,32.12,4.67,1996
42,40,1,1,16963,597,22721,28.41,4.47,1999
52,49,1,2,20441,734,25763,27.84,4.76,2003
51,50,1,0,21333,725,25851,29.42,4.95,2007
49,47,1,1,21333,731,25425,29.18,5.03,2011
48,48,0,0,23531,715,24980,32.91,5.65,2015
