Team,Span,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS
Australia,1975-2015,84,62,20,1,1,3.1,38.29,5.22,83,417,129
New Zealand,1975-2015,79,48,30,0,1,1.6,32.71,4.87,79,393,112
India,1975-2015,75,46,27,1,1,1.703,34.91,5,75,413,125
England,1975-2015,72,41,29,1,1,1.413,32.05,4.68,72,338,93
West Indies,1975-2015,71,41,29,0,1,1.413,31.12,4.68,71,372,93
Pakistan,1975-2015,71,40,29,0,2,1.379,31.04,4.64,71,349,74
South Africa,1992-2015,55,35,18,2,0,1.944,38.91,5.33,55,411,149
Sri Lanka,1975-2015,73,35,35,1,2,1,32.55,4.86,72,398,86
Bangladesh,1999-2015,32,11,20,0,1,0.55,21.22,4.29,32,322,58
Zimbabwe,1983-2015,57,11,42,1,3,0.261,25.2,4.37,56,340,99
Ireland,2007-2015,21,7,13,1,0,0.538,24.54,4.8,21,331,77
Kenya,1996-2011,29,6,22,0,1,0.272,22.3,4.03,28,264,69
Canada,1979-2011,18,2,16,0,0,0.125,18.08,3.69,18,261,36
Netherlands,1996-2011,20,2,18,0,0,0.111,21.69,4.14,20,314,115
Afghanistan,2015-2015,6,1,5,0,0,0.2,18.64,3.96,6,232,142
U.A.E.,1996-2015,11,1,10,0,0,0.1,22.05,4.06,11,285,102
Bermuda,2007-2007,3,0,3,0,0,0,11.31,3.69,3,156,78
East Africa,1975-1975,3,0,3,0,0,0,12.21,2.03,3,128,94
Namibia,2003-2003,6,0,6,0,0,0,15.37,4.23,6,250,45
Scotland,1999-2015,14,0,14,0,0,0,17.81,4.05,14,318,68
